id,avg_relation,avg_number_of_tokens_per_element,avg_number_of_key_elements,avg,std,median,mode,min,max,labeled_tokens
dev_ws_lfs_average_non_hard_matches-CORRECT-DE,0.0167950429455331,2.263157894736842,0.0945273631840796,0.010858585858585859,0.1036372373798992,0.0,0,0,1,43
dev_ws_lfs_average_non_hard_matches-PARTIAL_CORRECT-DE,0.005541460692769771,1.8333333333333333,0.03468208092485549,0.004993191103041307,0.07048587905140871,0.0,0,0,1,11
dev_ws_lfs_average_non_hard_matches-INCORRECT-DE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
dev_ws_lfs_average_non_hard_matches-CORRECT-EN,0.016797422335321013,11.764705882352942,0.1152542372881356,0.015670910871694418,0.1241987657915562,0.0,0,0,1,400
dev_ws_lfs_average_non_hard_matches-PARTIAL_CORRECT-EN,0.00894757064959728,9.625,0.049079754601226995,0.00544438945061161,0.07358497179534472,0.0,0,0,1,77
dev_ws_lfs_average_non_hard_matches-INCORRECT-EN,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
dev_ws_lfs_average_non_hard_matches-CORRECT-COMBINED,0.016796458106798088,8.358490566037736,0.10685483870967742,0.015024588773952857,0.12165052612350867,0.0,0,0,1,443
dev_ws_lfs_average_non_hard_matches-PARTIAL_CORRECT-COMBINED,0.0071938295111116865,6.285714285714286,0.041666666666666664,0.005383580080753701,0.07317511288865779,0.0,0,0,1,88
dev_ws_lfs_average_non_hard_matches-INCORRECT-COMBINED,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
dev_ws_hmm_1_all_lfs-CORRECT-DE,0.36338868864312135,6.1692307692307695,0.9701492537313433,0.3037878787878788,0.4598921650663771,0.0,0,0,1,1203
dev_ws_hmm_1_all_lfs-PARTIAL_CORRECT-DE,0.3828385698476267,5.153333333333333,0.8670520231213873,0.35088515660463004,0.4772470675438188,0.0,0,0,1,773
dev_ws_hmm_1_all_lfs-INCORRECT-DE,0.11301198801198803,2.2941176470588234,0.3269230769230769,0.08628318584070796,0.2807817616617679,0.0,0,0,1,39
dev_ws_hmm_1_all_lfs-CORRECT-EN,0.4077866621623494,16.488536155202823,1.9220338983050846,0.36626836434867777,0.4817840279897436,0.0,0,0,1,9349
